date_daily,year,FOMCused,dffr1_tick_wide_scaled,dffr2_tick_wide_scaled,ded2_tick_wide,ded3_tick_wide,ded4_tick_wide,path,path_intra_wide,dffr1_intra_wide,dffr1_intra_wide,DNY2_long,DNY3M,DNY6M,DNY1,DNY2,DNY3,DNY5,DNY10,DNF1,DNF2,DNF3,DNF5,DNF10,DRY2,DRY3,DRY5,DRY10,DRF2,DRF3,DRF5,DRF10,path_m,stratRF3,Dbkeveny2,Dbkeveny3,Dbkeveny5,Dbkeveny10,DIF2,DIF3,DIF5,DIF10
16may2000,2000,1,.0413264,.0550003,.0449982,.0500031,.0400009,.0335943,.0430389,.0413264,.0413264,.0081,-.05,-.02,.0148001,,,-.0177999,-.0422001,.0112,,,-.0536003,-.0729003,,,-.0194998,-.0172,,,-.0201001,-.0116999,.0335943,0,,,.0017002,-.0250001,,,-.0335002,-.0612004
17may2000,2000,0,0,.0055411,-.0099945,-.0100021,-.0099945,.0401033,.0023523,0,0,.0211,-.15,-.09,.0267,,,.033,.0588999,.0379,,,.0718002,.0855002,,,.0179,.0314999,,,.0570002,.0284998,,0,,,.0151,.0274,,,.0148001,.0570004
23may2000,2000,0,.0193644,-.0092211,.0100021,0,0,.0221252,.0090042,.0193644,.0193644,.0151,0,.01,-.0012002,,,.007,-.0005999,.0082002,,,-.0113001,-.0057998,,,.006,-.0036001,,,-.0030999,-.0145001,,0,,,.0009999,.003,,,-.0082002,.0087004
24may2000,2000,0,-.0049973,.0027485,.0149994,.0299988,.034996,.0111955,.0177327,-.0049973,-.0049973,.0232997,-.09,-.02,.0189004,,,.0347004,.0311999,.0370002,,,.0416002,.0186,,,-.0376,-.007,,,-.0068002,.0317001,,0,,,.0723,.0382001,,,.0484004,-.0131001
30may2000,2000,0,-.0049973,.0041154,.0049973,.0149994,.0099945,.0599179,.0105864,-.0049973,-.0049973,.0549002,.04,.08,.0421,,,.0574002,.0510998,.0785999,,,.0548997,.0380001,,,.0053997,-.0061998,,,-.0214996,-.0105,,0,,,.0519998,.0572999,,,.0763993,.0485001
31may2000,2000,0,-.0049973,.0282157,-.0100021,-.0149994,-.0099945,-.0071878,.0049485,-.0049973,-.0049973,-.0556002,-.24,-.09,-.0347996,,,-.0823998,-.0941,-.0295,,,-.1052999,-.0969005,,,-.0380998,-.0275002,,,-.0379,-.0037,,0,,,-.0442998,-.0665998,,,-.0674,-.0932004
06jun2000,2000,0,.0062561,-.0131378,-.0099945,-.015007,-.0149994,-.0085479,-.0015289,.0062561,.0062561,.0151,.01,.01,.0337,,,.0244999,.0068002,.0177999,,,.0226998,-.0302,,,-.0012002,-.0023999,,,-.0135999,.0057001,,0,,,.0256999,.0092001,,,.0362997,-.0359001
07jun2000,2000,0,0,.0100021,-.0050049,.0049973,-.0049973,.0612787,.007029,0,0,.0177002,-.07,-.03,.0132999,,,-.0121002,-.0250001,.0249,,,-.0441999,-.0311003,,,-.0120997,-.0089998,,,-.0028,-.0091,,0,,,0,-.016,,,-.0414,-.0220003
13jun2000,2000,0,0,-.0099945,.0049973,-.0050049,0,.0019355,.0044002,0,0,-.0453,-.05,-.03,-.0465002,,,.013,-.0214,-.1023998,,,-.0163002,-.0323,,,-.0162997,-.0127997,,,-.02,.0002999,,0,,,.0293,-.0086,,,.0036998,-.0325999
14jun2000,2000,0,0,0,.0049973,.0049973,.0100021,-.028198,.0090266,0,0,-.0436997,-.06,-.02,-.0517998,,,-.0629997,.0130997,-.0023003,,,.0172,.0922999,,,.0116997,.0114999,,,.0081,.0144999,,0,,,-.0747001,.0015998,,,.0091,.0778
20jun2000,2000,0,0,0,.0049973,0,0,.0325486,.006966,0,0,.0316,-.05,-.01,.0109,,,.0267,.0156002,.0246997,,,-.0014997,.0109,,,.0091,.0004001,,,.0185003,-.0288,,0,,,.0176001,.0151999,,,-.02,.0397
21jun2000,2000,0,0,-.0064646,.0100021,.0100021,.0100021,.1174207,.0095607,0,0,.0736003,.02,0,.0510998,,,.0855999,.0763998,.0918002,,,.0862999,.0506001,,,.0079002,.0105,,,.0407996,-.0074,,0,,,.0776999,.0659001,,,.0455003,.0580001
27jun2000,2000,0,-.0050049,-.0049931,.0100021,0,0,.0071417,.0062815,-.0050049,-.0050049,.0033002,.01,0,.0193996,,,-.0042,-.0212002,.0124002,,,-.0042,-.0670996,,,-.0039001,.0008001,,,.0024996,.0066001,,0,,,-.0002999,-.0219998,,,-.0066996,-.0736997
28jun2000,2000,1,-.0299988,.004453,-.0249939,-.034996,-.0400009,-.0061341,-.0126322,-.0299988,-.0299988,-.0211,-.02,-.01,-.0180998,,,.0068998,.0265999,-.0311003,,,.0464001,.0418,,,.0068998,.0125999,,,.0118003,.0191,-.0061341,0,,,0,.0139999,,,.0345998,.0227001
05jul2000,2000,0,0,.0238512,-.0100021,-.0149994,-.0049973,-.0227034,.0055241,0,0,-.0120997,-.01,-.05,-.0146003,,,-.0186,-.0181003,-.0099001,,,-.0257001,-.0081,,,.0030999,-.0058,,,-.0113001,-.0179999,,0,,,-.0216999,-.0123,,,-.0144,.0098999
11jul2000,2000,0,0,.0149994,.0099945,.0050049,.0149994,.0200903,.0132999,0,0,.0152998,0,.01,.0146999,,,.0278001,.0064001,.0077,,,.0225,-.0401001,,,-.0000997,.0001001,,,.0046,-.003,,0,,,.0279,.0063,,,.0179,-.0371001
12jul2000,2000,0,-.0081534,-.0049973,-.0050049,.0099945,.0050049,.0169126,.005226,-.0081534,-.0081534,.0117002,.07,.02,.0120001,,,.0335999,.0141001,-.0094004,,,.0346999,-.0353999,,,.0121999,.0091999,,,.0110002,.0042999,,0,,,.0214,.0049002,,,.0236998,-.0396998
