year,month,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1,gs1,gs10,sven5f5,bkeven05,exp_gdp_12m,exp_cpi_12m,us_cpi,us_ip,logsp500,us_gdpdef,us_rgdp,ebpnew,eureon3m_hf,stoxx50_hf,deurinflswap2y_d,pmnegm_eureon3mstoxx50,pmposm_eureon3mstoxx50,ea_ip_excl_constr,hicp,stoxx50,ea_bbb_oas_all_fred,ea_rgdp,ea_gdpdef,de1y_haver
1988,8,,,,,,,,,,8.1700001,9.2600002,9.8053999,,,,477.91235,415.23917,557.49127,413.26663,902.31018,-.041299999,,,,,,,,,,,,
1988,9,,,,,,,,,,8.0900002,8.9799995,9.4069901,,,,478.33163,414.95428,559.02826,413.638,902.35986,.1409,,,,,,,,,,,,
1988,10,,,,,,,,,,8.1099997,8.8000002,9.2528448,,,,478.6658,415.44733,562.54449,413.84772,902.58447,.26679999,,,,,,,,,,,,
1988,11,,,,,,,,,,8.4799995,8.96,9.2106447,,,,478.99887,415.60275,560.18689,414.05569,903.02173,.1129,,,,,,,,,,,,
1988,12,,,,,,,,,,8.9899998,9.1099997,9.0602856,,,,479.33081,416.08701,562.24835,414.36664,904.435,.2394,,,,,,,,,,,,
1989,1,,,,,,,,,,9.0500002,9.0900002,8.9368601,,,,479.7442,416.38116,565.27124,414.86169,904.83569,.204,,,,,,,,,,,,
1989,2,,,,,,,,,,9.25,9.1700001,8.9486313,,,,480.0737,415.92892,568.40845,415.18961,904.17065,.11,,,,,,,,,,,,
1989,3,,,,,,,,,,9.5699997,9.3599997,8.9618406,,,,480.56592,416.14734,567.86383,415.49362,904.00513,.3696,,,,,,,,,,,,
1989,4,,,,,,,,,,9.3599997,9.1800003,8.8613005,,,,481.29971,416.23459,571.12579,415.93256,904.78906,.47569999,,,,,,,,,,,,
1989,5,,,,,,,,,,8.9799995,8.8599997,8.7441816,,,,481.78592,415.52939,575.02301,416.22842,904.86945,.28380001,,,,,,,,,,,,
1989,6,,,,,,,,,,8.4399996,8.2799997,8.2583323,,,,482.10876,415.57877,577.9903,416.47397,905.60907,.50209999,,,,,,,,,,,,
1989,7,,,,,,,,,,7.8899999,8.0200005,8.2202148,,,,482.43057,414.68738,580.30902,416.77362,905.85925,.74900001,,,,,,,,,,,,
1989,8,,,,,,,,,,8.1800003,8.1099997,8.1344604,,,,482.43057,415.58456,584.8194,416.89838,905.75537,.4262,,,,,,,,,,,,
1989,9,,,,,,,,,,8.2200003,8.1899996,8.18818,,,,482.67123,415.2236,585.11523,417.12479,905.77094,.4869,,,,,,,,,,,,
1989,10,,,,,,,,,,7.9899998,8.0100002,8.0943861,,,,483.15085,415.15848,585.04675,417.42734,905.7226,.5165,,,,,,,,,,,,
1989,11,,,,,,,,,,7.77,7.8699999,7.9596095,,,,483.5488,415.49142,582.98169,417.61215,906.0932,.70139998,,,,,,,,,,,,
