date,r2y_prem,r3y_prem,r4y_prem,r5y_prem,r6y_prem,r7y_prem,r8y_prem,r9y_prem,r10y_prem,r11y_prem
10/3/2008,1.725998579,2.232057821,2.488411361,2.639408461,2.740435981,2.815417076,2.875485364,2.925879472,2.969034443,3.006108126
10/6/2008,1.749118098,2.268590157,2.525095255,2.671711585,2.767143568,2.836663308,2.891931466,2.938333385,2.97827507,3.012812326
10/7/2008,1.833376595,2.419904194,2.705784989,2.863529011,2.961059843,3.028464322,3.079957873,3.122206152,3.158180444,3.189120175
10/8/2008,2.037545404,2.630862326,2.917152173,3.073497269,3.169056547,3.234121385,3.282851672,3.321850798,3.354083888,3.380837734
10/9/2008,2.202550276,2.80114751,3.08275888,3.234823811,3.327713482,3.390981827,3.437980598,3.474804877,3.504192455,3.527393273
10/10/2008,2.354070321,2.952253055,3.224680621,3.367293802,3.452196219,3.508858507,3.550196157,3.581918589,3.606506925,3.625068057
10/14/2008,2.3111144,2.799794817,3.0235667,3.150836586,3.237383652,3.303042941,3.35536266,3.397369634,3.430445037,3.455459097
10/15/2008,2.497584886,2.972503395,3.173893249,3.284630344,3.360820854,3.419976864,3.467582176,3.505343539,3.533946025,3.5539782
10/16/2008,2.64138908,3.002445102,3.118872927,3.180344732,3.233115279,3.284094691,3.331102907,3.371164097,3.402440435,3.424353449
10/17/2008,2.661085393,2.9175544,2.971110169,3.00169843,3.043472875,3.094035342,3.145222943,3.190673519,3.226872098,3.252575431
10/20/2008,2.33177945,2.62918533,2.721533369,2.7836608,2.8498781,2.919398335,2.98572865,3.04379184,3.090931381,3.126427948
10/21/2008,2.175590222,2.451360812,2.530497118,2.590561869,2.661824935,2.739640373,2.815046813,2.881659702,2.936254378,2.977958652
10/22/2008,2.187681137,2.446572689,2.51123768,2.559904627,2.622757959,2.694681251,2.766164472,2.830340608,2.883604882,2.924796999
10/23/2008,2.200206985,2.453035919,2.513866955,2.559955986,2.621083249,2.69187414,2.762629899,2.826350724,2.879343366,2.920390326
10/24/2008,2.600135634,2.971894028,3.072986125,3.122741115,3.171237351,3.223339413,3.274388081,3.319623104,3.356124311,3.382726927
10/27/2008,2.876602296,3.202231992,3.258012309,3.272497942,3.295688505,3.330005341,3.368317083,3.404001184,3.432905775,3.453111272
10/28/2008,2.801861329,3.089519626,3.138120837,3.157787612,3.190203306,3.234018901,3.280524721,3.322606925,3.356141635,3.379461976
10/29/2008,2.629088668,2.916992971,2.986461697,3.028349792,3.079053099,3.136596572,3.193001711,3.242106524,3.280613674,3.307494061
10/30/2008,2.312662039,2.634320122,2.754158737,2.840004951,2.924028121,3.005605614,3.079203759,3.140813661,3.188716672,3.222956106
10/31/2008,2.153617043,2.545266524,2.717472481,2.839296851,2.946701812,3.042989907,3.125743469,3.193102405,3.244706315,3.281410127
11/3/2008,2.057252358,2.49503328,2.699216025,2.843122151,2.965269393,3.071065192,3.159762689,3.230703533,3.284331896,3.322021923
11/4/2008,1.692480485,2.091869016,2.293407476,2.448046029,2.58517165,2.70644372,2.809706053,2.893913877,2.959542963,3.008143003
11/5/2008,1.649125749,2.011527311,2.193024922,2.335694213,2.465623121,2.582827572,2.684151499,2.767903375,2.834134254,2.884108614
11/6/2008,1.803003,2.198303329,2.388617583,2.528958967,2.651783644,2.760336987,2.853032148,2.928849734,2.988047905,3.031874727
11/7/2008,1.747313613,2.14774628,2.350703845,2.502636004,2.634284474,2.749126737,2.846206205,2.925083404,2.986452192,3.031864245
11/10/2008,1.71399279,2.109886896,2.312816354,2.466072779,2.599266005,2.71550147,2.813736614,2.893548359,2.955676791,3.001722507
11/12/2008,1.652533037,2.079769373,2.299383925,2.460410638,2.596311951,2.712728667,2.810168666,2.889059575,2.950541219,2.996349289
11/13/2008,1.521500043,2.010184516,2.276925718,2.470928668,2.628726728,2.759312013,2.865888707,2.950760104,3.016263923,3.064861958
11/14/2008,1.480782882,2.005778848,2.290003515,2.488755862,2.644597476,2.770652628,2.872510232,2.953637251,3.016791853,3.064447794
11/17/2008,1.484745371,2.015792985,2.300652928,2.496172138,2.647182932,2.768352964,2.866074162,2.944121833,3.00528308,3.051921255
