year,month,day,FOMCused,dffr1_tick_wide_scaled,dffr2_tick_wide_scaled,ded2_tick_wide,ded3_tick_wide,ded4_tick_wide,DNY1
1996,6,5,0,.0059967,-.0146586,.0100021,0,-.0100021,0
1996,6,6,0,0,-.0387583,0,.0200043,.0100021,-.0464001
1996,6,7,0,0,-.0100021,0,-.0100021,-.0200043,.1365004
1996,6,10,0,0,.0100021,0,0,.0100021,.0237999
1996,6,11,0,0,0,-.0100021,-.0100021,0,-.0023999
1996,6,12,0,0,0,.0099945,0,-.0100021,.0014997
1996,6,13,0,0,-.0100021,-.0100021,-.0100021,0,-.007
1996,6,14,0,.0093699,-.0099945,-.0100021,0,.0200043,-.0219998
1996,6,17,0,.0115321,-.0210476,.0100021,-.0100021,-.0100021,-.0272999
1996,6,18,0,-.0124931,.0115454,-.0199966,.0100021,-.0100021,-.0237002
1996,6,19,0,.1090934,.0028717,.0100021,0,.0100021,.0223002
1996,6,20,0,-.0150146,-.033595,-.0100021,0,0,.0377998
1996,6,21,0,0,0,.0100021,.0100021,0,-.0074997
1996,6,24,0,-.0100021,-.0099919,-.0100021,0,.0100021,-.0044003
1996,6,25,0,-.0100021,.018175,0,-.0199966,-.0199966,-.0092001
1996,6,26,0,.0100021,-.022624,-.0099945,-.0100021,.0100021,-.0014997
1996,6,27,0,-.0199966,-.0200098,-.0600052,-.0599976,-.0499954,-.0377002
1996,6,28,0,.0249939,-.002344,.0200043,.0199966,.0299988,-.0604
1996,7,1,0,.0154994,-.0339098,0,-.0100021,-.0200043,-.0033998
1996,7,2,0,0,0,-.0200043,-.0100021,-.0200043,.0781999
1996,7,3,1,-.0664343,.0080598,-.0299988,-.0199966,-.0199966,-.0019999
1996,7,5,0,.0298095,.0303429,.0100021,.0199966,.0500031,.1566997
1996,7,8,0,-.0067354,-.0168386,.0099945,.0200043,0,.0121002
1996,7,9,0,-.0070416,-.017239,-.0199966,-.0300064,-.0300064,-.0046
