year,month,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1
2008,3,.19,-1.05246,.11179996,-.56850153,.21315627,.19,0,.21315628,0
2008,4,-.075000003,.31143001,-.0069999695,.10565885,-.07385353,-.075000003,0,-.07385353,0
2008,5,0,0,0,0,0,0,0,0,0
2008,6,.015,.10337,.10109997,.0018673552,.003144729,0,.015,0,.003144729
2008,7,0,0,0,0,0,0,0,0,0
2008,8,-.029999999,.10375,-.053599954,.040837396,-.01301837,-.029999999,0,-.01301837,0
2008,9,.12,-.76837999,-.26560003,-.48878852,.12340459,.12,0,.12340459,0
2008,10,-.05999,-2.6150899,-.10520011,-1.3209203,-.07811819,0,-.05999,0,-.07811819
2008,11,0,0,0,0,0,0,0,0,0
2008,12,-.18501,1.7103699,.15089989,.89903313,-.30001915,-.18501,0,-.30001915,0
2009,1,0,-.093950003,.059499979,-.099234551,.0087031834,0,0,.0087031834,0
2009,2,0,0,0,0,0,0,0,0,0
2009,3,-.0099999998,1.5276,.14430001,.81970161,-.030510254,-.0099999998,0,-.030510254,0
2009,4,.0049999999,.75173998,-.0123,.39168555,.036469493,0,.0049999999,0,.036469493
2009,5,0,0,0,0,0,0,0,0,0
2009,6,0,-.50384003,-.12849998,-.30359137,.06073036,0,0,.06073036,0
2009,7,0,0,0,0,0,0,0,0,0
2009,8,-.0049999999,-.25911,.0039000213,-.15829137,.0024324185,0,-.0049999999,.0024324185,0
2009,9,-.015,.63446999,-.024899989,.31931981,-.078189917,-.015,0,-.078189917,0
2009,10,0,0,0,0,0,0,0,0,0
2009,11,-.0099900002,.07677,.0094000101,.024208052,-.0035097799,-.0099900002,0,-.0035097799,0
2009,12,-.0049999999,-.095190004,.03579998,-.082826734,.019127253,0,-.0049999999,.019127253,0
2010,1,0,.081900001,-.042400002,.0046309126,.042758502,0,0,0,.042758502
2010,2,0,0,0,0,0,0,0,0,0
2010,3,-.0099999998,.18716,.013700008,.071792193,-.018815573,-.0099999998,0,-.018815573,0
2010,4,-.0099999998,.20239,.025400043,.087424666,.0045577851,-.0099999998,0,0,.0045577851
2010,5,0,0,0,0,0,0,0,0,0
2010,6,0,.34373,-.074000001,.17439151,.024288978,0,0,0,.024288978
2010,7,0,0,0,0,0,0,0,0,0
2010,8,0,.69335002,.015400052,.35931787,-.0053416658,0,0,-.0053416658,0
2010,9,.0049999999,.62963998,.071700037,.30543745,.011664675,0,.0049999999,0,.011664675
2010,10,0,0,0,0,0,0,0,0,0
2010,11,.0049999999,-.48747,.021599948,-.30511743,.015636347,.0049999999,0,.015636347,0
2010,12,0,.0088299997,.024099946,-.028033096,.015572868,0,0,.015572868,0
2011,1,-.0049999999,-.058570001,.031700015,-.067056425,.0058734934,0,-.0049999999,.0058734934,0
2011,2,0,0,0,0,0,0,0,0,0
2011,3,0,.28501001,-.019799948,.13993657,.025159407,0,0,0,.025159407
2011,4,-.0049999999,.14414001,.026600122,.050717529,.0038952674,-.0049999999,0,0,.0038952674
2011,5,0,0,0,0,0,0,0,0,0
2011,6,-.0049999999,.095720001,-.0054000616,.011612726,.022737553,-.0049999999,0,0,.022737553
2011,7,0,0,0,0,0,0,0,0,0
2011,8,-.0049999999,-.89025003,-.047600031,-.58574378,-.0106027,0,-.0049999999,0,-.0106027
2011,9,.02,-.26923999,.010799885,-.18631215,.073078938,.02,0,.073078938,0
2011,10,0,0,0,0,0,0,0,0,0
2011,11,.0099999998,-.15527999,.010200024,-.12672614,.029844441,.0099999998,0,.029844441,0
2011,12,0,-.75199002,-.020699978,-.44790435,.026595177,0,0,.026595177,0
2012,1,0,.34101999,.050999999,.15228797,-.001759031,0,0,-.001759031,0
2012,2,0,0,0,0,0,0,0,0,0
2012,3,0,-.055679999,.049000025,-.057784263,.027912987,0,0,.027912987,0
2012,4,0,-.04978,-.024299979,-.061921902,.018006468,0,0,.018006468,0
2012,5,0,0,0,0,0,0,0,0,0
2012,6,.0099999998,-.0517,.0069999695,-.042043488,.037881136,.0099999998,0,.037881136,0
2012,7,0,0,0,0,0,0,0,0,0
2012,8,.015,-.01087,.037700057,-.029916082,.032920487,.015,0,.032920487,0
2012,9,.02,.5984,.13109994,.32626104,.03698276,0,.02,0,.03698276
2012,10,-.0049999999,-.057950001,-.042800069,-.060469672,.015632153,0,-.0049999999,.015632153,0
2012,11,0,0,0,0,0,0,0,0,0
2012,12,0,.38376999,.032400012,.43397272,.013572631,0,0,0,.013572631
2013,1,0,-.060400002,.026499987,-.12218728,.01113971,0,0,.01113971,0
2013,2,0,0,0,0,0,0,0,0,0
2013,3,.0049999999,.095720001,.010200024,.14041653,.0092310738,0,.0049999999,0,.0092310738
2013,4,0,0,0,0,0,0,0,0,0
2013,5,0,.14757,-.087700009,.073830254,.011758151,0,0,0,.011758151
2013,6,.0049999999,-.05759,-.025300026,-.17609972,.039442729,.0049999999,0,.039442729,0
2013,7,0,.46186,.048900008,.51798087,.015033232,0,0,0,.015033232
2013,8,0,0,0,0,0,0,0,0,0
2013,9,0,1.21777,.092799902,1.4311426,-.0028015785,0,0,-.0028015785,0
2013,10,0,-.33013999,-.0019000769,-.44246462,.014110019,0,0,.014110019,0
2013,11,0,0,0,0,0,0,0,0,0
2013,12,.0049999999,1.6648,.030399919,1.9488281,.018314701,0,.0049999999,0,.018314701
2014,1,0,-.45282,.024800062,-.57422435,.016863599,0,0,.016863599,0
2014,2,0,0,0,0,0,0,0,0,0
2014,3,0,-.17357001,-.030799985,-.22954451,.034095176,0,0,.034095176,0
2014,4,0,.02448,-.0081000328,.0016904284,.019297197,0,0,0,.019297197
2014,5,0,0,0,0,0,0,0,0,0
2014,6,0,.33186001,.022499919,.3805353,.026770117,0,0,0,.026770117
2014,7,0,.40577999,.033800006,.45590395,.010753207,0,0,0,.010753207
2014,8,0,0,0,0,0,0,0,0,0
2014,9,0,.27313,-.11650002,.31112331,.034095176,0,0,0,.034095176
2014,10,.0099999998,-.35664999,.0056999922,-.45267949,.044901419,.0099999998,0,.044901419,0
