year,period,ff4_hf,sp500_hf,MPshockSign,CBIshockSign,MPshockPoorman,CBIshockPoorman
2009,11,-.00999,.07677,-.009185235,-.00080476521,-.0099900002,0
2009,12,-.005,-.09519,.0026956291,-.0076956293,0,-.0049999999
2010,1,0,.0819,-.0044702389,.0044702389,0,0
2010,2,0,0,0,0,0,0
2010,3,-.01,.18716,-.015215505,.0052155051,-.0099999998,0
2010,4,-.01,.20239,-.016046785,.0060467841,-.0099999998,0
2010,5,0,0,0,0,0,0
2010,6,0,.34373,-.018761357,.018761357,0,0
2010,7,0,0,0,0,0,0
2010,8,0,.69335,-.0378442,.0378442,0,0
2010,9,.005,.62964,-.031866804,.036866803,0,.0049999999
2010,10,0,0,0,0,0,0
2010,11,.005,-.48747,.029106926,-.024106927,.0049999999,0
2010,12,0,.00883,-.00048195614,.00048195614,0,0
2011,1,-.005,-.05857,.00069684838,-.0056968485,0,-.0049999999
2011,2,0,0,0,0,0,0
2011,3,0,.28501,-.015556321,.015556321,0,0
2011,4,-.005,.14414,-.010367402,.005367402,-.0049999999,0
2011,5,0,0,0,0,0,0
2011,6,-.005,.09572,-.0077245575,.0027245574,-.0049999999,0
2011,7,0,0,0,0,0,0
2011,8,-.005,-.89025,.046091333,-.051091332,0,-.0049999999
2011,9,.02,-.26924,.02469557,-.0046955687,.02,0
2011,10,0,0,0,0,0,0
2011,11,.01,-.15528,.013475441,-.0034754416,.0099999998,0
2011,12,0,-.7519900000000001,.041044869,-.041044869,0,0
2012,1,0,.34102,-.018613441,.018613441,0,0
2012,2,0,0,0,0,0,0
2012,3,0,-.05568,.0030391074,-.0030391074,0,0
2012,4,0,-.04978,.0027170756,-.0027170756,0,0
2012,5,0,0,0,0,0,0
2012,6,.01,-.0517,.0078218719,.0021781276,.0099999998,0
2012,7,0,0,0,0,0,0
2012,8,.015,-.01087,.0080933031,.0069066971,.015,0
2012,9,.02,.5984,-.022661671,.042661671,0,.02
2012,10,-.005,-.05795,.00066300778,-.005663008,0,-.0049999999
2012,11,0,0,0,0,0,0
2012,12,0,.38377,-.020946808,.020946808,0,0
2013,1,0,-.0604,.0032967329,-.0032967329,0,0
2013,2,0,0,0,0,0,0
2013,3,.005,.09572,-.0027245574,.0077245575,0,.0049999999
2013,4,0,0,0,0,0,0
2013,5,0,.14757,-.0080546169,.0080546169,0,0
2013,6,.005,-.05759,.0056433585,-.00064335839,.0049999999,0
2013,7,0,.46186,-.02520909,.02520909,0,0
2013,8,0,0,0,0,0,0
2013,9,0,1.21777,-.066467918,.066467918,0,0
2013,10,0,-.33014,.018019592,-.018019592,0,0
2013,11,0,0,0,0,0,0
2013,12,.005,1.6648,-.088367566,.093367562,0,.0049999999
2014,1,0,-.45282,.024715671,-.024715671,0,0
2014,2,0,0,0,0,0,0
2014,3,0,-.17357,.0094737401,-.0094737401,0,0
2014,4,0,.02448,-.0013361593,.0013361593,0,0
2014,5,0,0,0,0,0,0
2014,6,0,.33186,-.018113473,.018113473,0,0
2014,7,0,.40578,-.022148149,.022148149,0,0
2014,8,0,0,0,0,0,0
2014,9,0,.27313,-.014907892,.014907892,0,0
2014,10,.01,-.35665,.024466552,-.014466553,.0099999998,0
2014,11,0,0,0,0,0,0
2014,12,-.005,.79783,-.046046894,.041046895,-.0049999999,0
2015,1,0,-.19384,.010580111,-.010580111,0,0
2015,2,0,0,0,0,0,0
2015,3,-.02,1.49382,-.091535188,.071535192,-.02,0
2015,4,0,.09926,-.0054177768,.0054177768,0,0
2015,5,0,0,0,0,0,0
2015,6,-.02,.35392,-.029317545,.0093175443,-.02,0
2015,7,0,.16123,-.008800203,.008800203,0,0
2015,8,0,0,0,0,0,0
2015,9,-.06499,.15194,-.04078814,-.024201861,-.064989999,0
2015,10,.035,-.70941,.056220781,-.021220783,.035,0
2015,11,0,0,0,0,0,0
2015,12,.02,.09938,.0045756735,.015424326,0,.02
2016,1,-.005,-.3674,.017553305,-.022553306,0,-.0049999999
2016,2,0,0,0,0,0,0
2016,3,-.055,.24853,-.041065183,-.013934817,-.055,0
2016,4,-.005,.23738,-.015456596,.010456597,-.0049999999,0
2016,5,0,0,0,0,0,0
2016,6,-.02,-.0389,-.0078767734,-.012123227,0,-.02
2016,7,-.005,.17277,-.011930075,.0069300751,-.0049999999,0
2016,8,0,0,0,0,0,0
2016,9,-.005,.28085,-.017829262,.012829262,-.0049999999,0
2016,10,0,0,0,0,0,0
2016,11,0,.08383,-.0045755813,.0045755813,0,0
2016,12,.01,-.15587,.013507645,-.0035076449,.0099999998,0
